ts_code,trade_date,open,high,low,close,MACD_Hist,Selected,Down,factor_turn,return_rate_ewm
000807.SZ,20241202,13.64,13.88,13.57,13.76,,0,,-0.0,
000807.SZ,20241203,13.7,13.75,13.52,13.63,,0,,-0.04205796442312757,-0.9492586796756318
000807.SZ,20241204,13.69,14.18,13.67,13.94,,0,,-0.1392537776757603,0.729783007410737
000807.SZ,20241205,13.87,14.06,13.71,13.89,,0,,-0.09173084681081346,0.32986912894756915
000807.SZ,20241206,13.82,14.19,13.77,14.04,,0,,-0.06639187648954303,0.5447240559079116
000807.SZ,20241209,13.96,14.08,13.78,13.84,,0,,-0.015688460315413964,0.06590737470551998
000807.SZ,20241210,14.35,14.68,14.02,14.06,,0,,-0.24336028796097262,0.3846986452520171
000807.SZ,20241211,14.07,15.17,14.07,14.94,,0,,-0.3117775914702771,1.4598052161285549
000807.SZ,20241212,14.9,15.04,14.8,14.97,,0,,-0.16387984563135788,1.2421455909822257
000807.SZ,20241213,14.82,15.0,14.6,14.84,,0,,-0.09717036206945803,0.9029948500574777
000807.SZ,20241216,14.82,15.05,14.58,14.68,,0,,-0.09741545900855964,0.6037674116394556
000807.SZ,20241217,14.58,14.71,14.32,14.39,,0,,-0.08247429665243836,0.23290624234369844
000807.SZ,20241218,14.52,14.89,14.36,14.41,,0,,-0.04113425185859837,0.22009843481224484
000807.SZ,20241219,14.25,14.52,14.07,14.48,,0,,-0.12861993371919764,0.2547118739702486
000807.SZ,20241220,14.45,14.53,14.02,14.07,,0,,-0.040703649706070516,-0.14043092154882958
000807.SZ,20241223,14.07,14.31,14.06,14.17,,0,,-0.07675905671653067,-0.03643061829560828
000807.SZ,20241224,14.11,14.36,14.08,14.34,-0.01864609333252107,0,,-0.13428232317127337,0.11017813250298351
000807.SZ,20241225,14.28,14.59,14.24,14.37,-0.005881197686398771,0,0.0128,-0.14522237985147216,0.12168816447657739
000807.SZ,20241226,14.35,14.41,14.16,14.2,-0.014671898630013438,0,-0.0088,-0.1550428581192091,-0.027937321738092092
000807.SZ,20241227,14.2,14.27,13.73,13.75,-0.05563238937656538,0,-0.041,-0.11493714940448022,-0.3853455563678337
000807.SZ,20241230,13.7,13.99,13.68,13.92,-0.04694060888232912,0,0.0087,-0.042916023557781034,-0.20760450143152623
000807.SZ,20241231,13.9,13.94,13.51,13.53,-0.06986707115172104,0,-0.0229,-0.043910946187459346,-0.49341022760676023
